,file,map,date,round,tick,seconds,att_team,vic_team,att_side,vic_side,hp_dmg,arm_dmg,is_bomb_planted,bomb_site,hitbox,wp,wp_type,award,winner_team,winner_side,att_id,att_rank,vic_id,vic_rank,att_pos_x,att_pos_y,vic_pos_x,vic_pos_y,round_type,ct_eq_val,t_eq_val,avg_match_rank
0,003228228336719233207_0297655124.dem,cs_agency,09/28/2017 8:45:51 PM,1,8844,138.6793,Team 1,Team 2,CounterTerrorist,Terrorist,17,8,False,,Stomach,USP,Pistol,300,Team 2,Terrorist,76561198065126836,16,76561197990415912,14,119.9596,-212.0335,-133.8826,1075.0919999999999,PISTOL_ROUND,4300,3800,14.0
1,003228228336719233207_0297655124.dem,cs_agency,09/28/2017 8:45:51 PM,1,9084,142.4333,Team 1,Team 2,CounterTerrorist,Terrorist,28,0,False,,Chest,P2000,Pistol,300,Team 2,Terrorist,76561198118127420,14,76561198037815298,12,-640.0916,-147.2914,-554.7612,878.2386,PISTOL_ROUND,4300,3800,14.0
2,003228228336719233207_0297655124.dem,cs_agency,09/28/2017 8:45:51 PM,1,9560,149.8788,Team 2,Team 1,Terrorist,CounterTerrorist,100,0,False,,Head,Deagle,Pistol,300,Team 2,Terrorist,76561198037815298,12,76561198118127420,14,-556.1376,878.7664,-682.2689,-132.4394,PISTOL_ROUND,4300,3800,14.0
3,003228228336719233207_0297655124.dem,cs_agency,09/28/2017 8:45:51 PM,1,9866,154.6652,Team 1,Team 2,CounterTerrorist,Terrorist,29,0,False,,Chest,USP,Pistol,300,Team 2,Terrorist,76561198077326537,16,76561198037815298,12,-656.6907,-138.2809,-551.9019999999999,864.7628,PISTOL_ROUND,4300,3800,14.0
4,003228228336719233207_0297655124.dem,cs_agency,09/28/2017 8:45:51 PM,1,9940,155.8226,Team 1,Team 2,CounterTerrorist,Terrorist,29,0,False,,Chest,USP,Pistol,300,Team 2,Terrorist,76561198077326537,16,76561198037815298,12,-641.7037,-139.8777,-560.1022,865.1931,PISTOL_ROUND,4300,3800,14.0
5,003228228336719233207_0297655124.dem,cs_agency,09/28/2017 8:45:51 PM,1,10024,157.1366,Team 1,Team 2,CounterTerrorist,Terrorist,14,0,False,,Chest,USP,Pistol,300,Team 2,Terrorist,76561198077326537,16,76561198037815298,12,-645.8182,-139.5109,-542.1829,863.2129,PISTOL_ROUND,4300,3800,14.0
6,003228228336719233207_0297655124.dem,cs_agency,09/28/2017 8:45:51 PM,1,10232,160.39,Team 2,Team 1,Terrorist,CounterTerrorist,10,5,False,,Chest,Glock,Pistol,300,Team 2,Terrorist,76561198142390354,12,76561198077326537,16,-1199.598,761.7526,-528.9669,-70.78943000000001,PISTOL_ROUND,4300,3800,14.0
7,003228228336719233207_0297655124.dem,cs_agency,09/28/2017 8:45:51 PM,1,10242,160.5464,Team 1,Team 2,CounterTerrorist,Terrorist,100,0,False,,Head,USP,Pistol,300,Team 2,Terrorist,76561198077326537,16,76561198142390354,12,-526.1499,-68.63419,-1193.678,762.2151,PISTOL_ROUND,4300,3800,14.0
8,003228228336719233207_0297655124.dem,cs_agency,09/28/2017 8:45:51 PM,1,10452,163.8312,Team 2,Team 1,Terrorist,CounterTerrorist,12,7,False,,Chest,Glock,Pistol,300,Team 2,Terrorist,76561198165300905,14,76561198065126836,16,-1732.6860000000001,508.1009,-1658.5829999999999,353.5165,PISTOL_ROUND,4300,3800,14.0
9,003228228336719233207_0297655124.dem,cs_agency,09/28/2017 8:45:51 PM,1,10496,164.5194,Team 2,Team 1,Terrorist,CounterTerrorist,12,7,False,,Chest,Glock,Pistol,300,Team 2,Terrorist,76561198165300905,14,76561198065126836,16,-1738.556,505.5567,-1714.957,397.0085,PISTOL_ROUND,4300,3800,14.0
