,file,map,date,round,tick,seconds,att_team,vic_team,att_side,vic_side,hp_dmg,arm_dmg,is_bomb_planted,bomb_site,hitbox,wp,wp_type,award,winner_team,winner_side,att_id,att_rank,vic_id,vic_rank,att_pos_x,att_pos_y,vic_pos_x,vic_pos_y,round_type,ct_eq_val,t_eq_val,avg_match_rank
0,003228524771067035851_0177406728.dem,de_austria,09/28/2017 8:49:45 PM,1,8983,140.82299999999998,Team 2,Team 1,Terrorist,CounterTerrorist,6,3,False,,Chest,Glock,Pistol,300,Team 1,CounterTerrorist,76561198216795148,9,76561198185246777,8,30.05715,198.5325,-474.8297,512.4677,PISTOL_ROUND,3600,2950,10.0
1,003228524771067035851_0177406728.dem,de_austria,09/28/2017 8:49:45 PM,1,8995,141.0106,Team 2,Team 1,Terrorist,CounterTerrorist,34,0,False,,Head,Glock,Pistol,300,Team 1,CounterTerrorist,76561198216795148,9,76561198185246777,8,24.061120000000003,194.3869,-464.8155,513.9724,PISTOL_ROUND,3600,2950,10.0
2,003228524771067035851_0177406728.dem,de_austria,09/28/2017 8:49:45 PM,1,9009,141.2296,Team 2,Team 1,Terrorist,CounterTerrorist,4,2,False,,RightArm,Glock,Pistol,300,Team 1,CounterTerrorist,76561198216795148,9,76561198185246777,8,23.73695,194.7943,-462.602,510.3521,PISTOL_ROUND,3600,2950,10.0
3,003228524771067035851_0177406728.dem,de_austria,09/28/2017 8:49:45 PM,1,9119,142.9496,Team 1,Team 2,CounterTerrorist,Terrorist,15,7,False,,Chest,USP,Pistol,300,Team 1,CounterTerrorist,76561198185246777,8,76561198216795148,9,-486.8446,476.2614,11.30442,176.7165,PISTOL_ROUND,3600,2950,10.0
4,003228524771067035851_0177406728.dem,de_austria,09/28/2017 8:49:45 PM,1,9123,143.0121,Team 2,Team 1,Terrorist,CounterTerrorist,11,6,False,,Chest,Glock,Pistol,300,Team 1,CounterTerrorist,76561198216795148,9,76561198185246777,8,8.256991000000001,172.3006,-491.0403,469.4265,PISTOL_ROUND,3600,2950,10.0
5,003228524771067035851_0177406728.dem,de_austria,09/28/2017 8:49:45 PM,1,9151,143.45,Team 2,Team 1,Terrorist,CounterTerrorist,14,8,False,,Stomach,Glock,Pistol,300,Team 1,CounterTerrorist,76561198216795148,9,76561198185246777,8,25.73414,200.3698,-487.8439,468.9791,PISTOL_ROUND,3600,2950,10.0
6,003228524771067035851_0177406728.dem,de_austria,09/28/2017 8:49:45 PM,1,9183,143.9503,Team 2,Team 1,Terrorist,CounterTerrorist,11,6,False,,Chest,Glock,Pistol,300,Team 1,CounterTerrorist,76561198216795148,9,76561198185246777,8,29.80981,208.0019,-481.8011,479.7229,PISTOL_ROUND,3600,2950,10.0
7,003228524771067035851_0177406728.dem,de_austria,09/28/2017 8:49:45 PM,1,9187,144.0129,Team 1,Team 2,CounterTerrorist,Terrorist,15,7,False,,Chest,USP,Pistol,300,Team 1,CounterTerrorist,76561198185246777,8,76561198216795148,9,-483.978,475.9424,29.889259999999997,208.1571,PISTOL_ROUND,3600,2950,10.0
8,003228524771067035851_0177406728.dem,de_austria,09/28/2017 8:49:45 PM,1,9203,144.263,Team 1,Team 2,CounterTerrorist,Terrorist,15,7,False,,Chest,USP,Pistol,300,Team 1,CounterTerrorist,76561198185246777,8,76561198216795148,9,-491.4111,461.5902,34.45513,216.5907,PISTOL_ROUND,3600,2950,10.0
9,003228524771067035851_0177406728.dem,de_austria,09/28/2017 8:49:45 PM,1,9963,156.1469,Team 1,Team 2,CounterTerrorist,Terrorist,33,0,True,B,RightArm,USP,Pistol,300,Team 1,CounterTerrorist,76561198185246777,8,76561198067534821,7,-344.1676,875.6287,-442.64300000000003,782.4617,PISTOL_ROUND,3600,2950,10.0
