,file,map,date,round,tick,seconds,att_team,vic_team,att_side,vic_side,hp_dmg,arm_dmg,is_bomb_planted,bomb_site,hitbox,wp,wp_type,award,winner_team,winner_side,att_id,att_rank,vic_id,vic_rank,att_pos_x,att_pos_y,vic_pos_x,vic_pos_y,round_type,ct_eq_val,t_eq_val,avg_match_rank
0,003228393171121602578_1246621670.dem,de_dust,09/28/2017 8:47:32 PM,1,7449,116.7725,Team 1,Team 2,CounterTerrorist,Terrorist,16,7,False,,Chest,USP,Pistol,300,Team 2,Terrorist,76561198163038482,10,76561198056925937,10,660.3475,1157.875,245.7176,1304.068,PISTOL_ROUND,3300,3450,9.0
1,003228393171121602578_1246621670.dem,de_dust,09/28/2017 8:47:32 PM,1,7463,116.9913,Team 2,Team 2,Terrorist,Terrorist,8,0,False,,Chest,Glock,Pistol,300,Team 2,Terrorist,76561198056195969,7,76561197987903016,9,434.1774,1255.349,614.9231,1195.615,PISTOL_ROUND,3300,3450,9.0
2,003228393171121602578_1246621670.dem,de_dust,09/28/2017 8:47:32 PM,1,7507,117.6791,Team 2,Team 1,Terrorist,CounterTerrorist,29,0,False,,RightArm,Tec9,Pistol,300,Team 2,Terrorist,76561197987903016,9,76561198163038482,10,730.9937,1230.069,594.2692,981.4066,PISTOL_ROUND,3300,3450,9.0
3,003228393171121602578_1246621670.dem,de_dust,09/28/2017 8:47:32 PM,1,7531,118.0543,Team 2,Team 1,Terrorist,CounterTerrorist,26,0,False,,Chest,Glock,Pistol,300,Team 2,Terrorist,76561198056195969,7,76561198163038482,10,589.1938,1227.7169999999999,613.2669999999999,938.1782,PISTOL_ROUND,3300,3450,9.0
4,003228393171121602578_1246621670.dem,de_dust,09/28/2017 8:47:32 PM,1,7531,118.0543,Team 2,Team 1,Terrorist,CounterTerrorist,28,0,False,,Chest,Tec9,Pistol,300,Team 2,Terrorist,76561197987903016,9,76561198163038482,10,726.2646,1243.491,613.2669999999999,938.1782,PISTOL_ROUND,3300,3450,9.0
5,003228393171121602578_1246621670.dem,de_dust,09/28/2017 8:47:32 PM,1,7545,118.2732,Team 2,Team 1,Terrorist,CounterTerrorist,17,0,False,,RightArm,Tec9,Pistol,300,Team 2,Terrorist,76561197987903016,9,76561198163038482,10,706.2643,1251.915,616.0325,922.7728,PISTOL_ROUND,3300,3450,9.0
6,003228393171121602578_1246621670.dem,de_dust,09/28/2017 8:47:32 PM,1,7699,120.6805,Team 1,Team 2,CounterTerrorist,Terrorist,39,0,False,,Stomach,P250,Pistol,300,Team 2,Terrorist,76561197965194822,9,76561197987903016,9,1433.9370000000001,1188.17,1106.9189999999999,1253.21,PISTOL_ROUND,3300,3450,9.0
7,003228393171121602578_1246621670.dem,de_dust,09/28/2017 8:47:32 PM,1,7709,120.8368,Team 1,Team 2,CounterTerrorist,Terrorist,31,0,False,,RightArm,P250,Pistol,300,Team 2,Terrorist,76561197965194822,9,76561197987903016,9,1437.786,1225.472,1122.938,1261.3139999999999,PISTOL_ROUND,3300,3450,9.0
8,003228393171121602578_1246621670.dem,de_dust,09/28/2017 8:47:32 PM,1,7723,121.0557,Team 2,Team 1,Terrorist,CounterTerrorist,20,0,False,,RightLeg,Glock,Pistol,300,Team 2,Terrorist,76561198098776450,9,76561197965194822,9,1209.984,1227.994,1446.1889999999999,1274.163,PISTOL_ROUND,3300,3450,9.0
9,003228393171121602578_1246621670.dem,de_dust,09/28/2017 8:47:32 PM,1,7747,121.4309,Team 2,Team 1,Terrorist,CounterTerrorist,26,0,False,,Chest,Glock,Pistol,300,Team 2,Terrorist,76561198098776450,9,76561197965194822,9,1278.498,1205.001,1481.194,1261.259,PISTOL_ROUND,3300,3450,9.0
10,003228393171121602578_1246621670.dem,de_dust,09/28/2017 8:47:32 PM,1,7751,121.4934,Team 2,Team 1,Terrorist,CounterTerrorist,54,0,False,,Head,Glock,Pistol,300,Team 2,Terrorist,76561198056195969,7,76561197965194822,9,1121.055,1271.9460000000001,1482.879,1256.796,PISTOL_ROUND,3300,3450,9.0
11,003228393171121602578_1246621670.dem,de_dust,09/28/2017 8:47:32 PM,1,8189,128.3403,Team 2,Team 1,Terrorist,CounterTerrorist,10,5,False,,Chest,Glock,Pistol,300,Team 2,Terrorist,76561198024241170,7,76561198084382823,10,1161.948,1259.675,-16.79467,1222.789,PISTOL_ROUND,3300,3450,9.0
12,003228393171121602578_1246621670.dem,de_dust,09/28/2017 8:47:32 PM,1,8213,128.7155,Team 2,Team 1,Terrorist,CounterTerrorist,10,5,False,,RightArm,Glock,Pistol,300,Team 2,Terrorist,76561198024241170,7,76561198084382823,10,1242.728,1290.208,-3.5834019999999995,1241.5910000000001,PISTOL_ROUND,3300,3450,9.0
13,003228393171121602578_1246621670.dem,de_dust,09/28/2017 8:47:32 PM,1,8265,129.5284,Team 1,Team 2,CounterTerrorist,Terrorist,34,0,True,A,Stomach,USP,Pistol,300,Team 2,Terrorist,76561198084382823,10,76561198024241170,7,-1.9956209999999999,1213.167,1320.25,1274.076,PISTOL_ROUND,3300,3450,9.0
14,003228393171121602578_1246621670.dem,de_dust,09/28/2017 8:47:32 PM,1,8287,129.8723,Team 1,Team 2,CounterTerrorist,Terrorist,66,0,True,A,Head,USP,Pistol,300,Team 2,Terrorist,76561198084382823,10,76561198024241170,7,-1.738891,1214.741,1359.315,1260.037,PISTOL_ROUND,3300,3450,9.0
15,003228393171121602578_1246621670.dem,de_dust,09/28/2017 8:47:32 PM,1,8381,131.3417,Team 2,Team 1,Terrorist,CounterTerrorist,9,5,True,A,RightArm,Glock,Pistol,300,Team 2,Terrorist,76561198056925937,10,76561198084382823,10,1855.339,1243.681,140.9812,1270.2910000000002,PISTOL_ROUND,3300,3450,9.0
16,003228393171121602578_1246621670.dem,de_dust,09/28/2017 8:47:32 PM,1,8391,131.498,Team 2,Team 1,Terrorist,CounterTerrorist,9,5,True,A,Chest,Glock,Pistol,300,Team 2,Terrorist,76561198056195969,7,76561198084382823,10,1830.589,1211.65,152.1507,1281.688,PISTOL_ROUND,3300,3450,9.0
17,003228393171121602578_1246621670.dem,de_dust,09/28/2017 8:47:32 PM,1,8413,131.8419,Team 2,Team 1,Terrorist,CounterTerrorist,62,0,True,A,Head,Glock,Pistol,300,Team 2,Terrorist,76561198056195969,7,76561198084382823,10,1829.961,1200.111,177.2806,1286.77,PISTOL_ROUND,3300,3450,9.0
18,003228393171121602578_1246621670.dem,de_dust,09/28/2017 8:47:32 PM,1,8775,137.5008,Team 1,Team 2,CounterTerrorist,Terrorist,24,8,True,A,Generic,HE,Grenade,300,Team 2,Terrorist,76561198205911309,9,76561198098776450,9,747.3629,674.8776,856.5154,1325.969,PISTOL_ROUND,3300,3450,9.0
19,003228393171121602578_1246621670.dem,de_dust,09/28/2017 8:47:32 PM,1,8853,138.7201,Team 1,Team 2,CounterTerrorist,Terrorist,100,0,True,A,Head,P250,Pistol,300,Team 2,Terrorist,76561198205911309,9,76561198056195969,7,902.5071,659.1697,1847.838,531.5219,PISTOL_ROUND,3300,3450,9.0
20,003228393171121602578_1246621670.dem,de_dust,09/28/2017 8:47:32 PM,1,8869,138.9702,Team 2,Team 1,Terrorist,CounterTerrorist,24,0,True,A,Chest,Glock,Pistol,300,Team 2,Terrorist,76561198098776450,9,76561197974241783,7,688.0264,1325.969,628.185,777.7763,PISTOL_ROUND,3300,3450,9.0
21,003228393171121602578_1246621670.dem,de_dust,09/28/2017 8:47:32 PM,1,8873,139.0327,Team 2,Team 1,Terrorist,CounterTerrorist,100,0,True,A,Head,Tec9,Pistol,300,Team 2,Terrorist,76561197987903016,9,76561198205911309,9,871.6323,724.0386,910.8632,705.0051,PISTOL_ROUND,3300,3450,9.0
22,003228393171121602578_1246621670.dem,de_dust,09/28/2017 8:47:32 PM,1,8925,139.8456,Team 2,Team 1,Terrorist,CounterTerrorist,19,0,True,A,RightLeg,Glock,Pistol,300,Team 2,Terrorist,76561198098776450,9,76561197974241783,7,669.5403,1325.192,621.4855,897.3024,PISTOL_ROUND,3300,3450,9.0
23,003228393171121602578_1246621670.dem,de_dust,09/28/2017 8:47:32 PM,1,8929,139.9081,Team 1,Team 2,CounterTerrorist,Terrorist,76,0,True,A,Head,USP,Pistol,300,Team 2,Terrorist,76561197974241783,7,76561198098776450,9,618.4872,901.5381,669.8611,1325.161,PISTOL_ROUND,3300,3450,9.0
24,003228393171121602578_1246621670.dem,de_dust,09/28/2017 8:47:32 PM,1,9073,142.1591,Team 2,Team 1,Terrorist,CounterTerrorist,27,0,True,A,Chest,P250,Pistol,300,Team 2,Terrorist,76561198056925937,10,76561197974241783,7,1477.399,1320.594,688.4919,1215.965,PISTOL_ROUND,3300,3450,9.0
25,003228393171121602578_1246621670.dem,de_dust,09/28/2017 8:47:32 PM,1,9083,142.3155,Team 2,Team 1,Terrorist,CounterTerrorist,30,0,True,A,Head,P250,Pistol,300,Team 2,Terrorist,76561198056925937,10,76561197974241783,7,1479.11,1307.859,698.6351,1228.212,PISTOL_ROUND,3300,3450,9.0
26,003228393171121602578_1246621670.dem,de_dust,09/28/2017 8:47:32 PM,2,11408,178.6447,Team 2,Team 1,Terrorist,CounterTerrorist,26,0,False,,Chest,Tec9,Pistol,300,Team 2,Terrorist,76561197987903016,9,76561198205911309,9,616.5483,893.4935,948.7288,499.5381,ECO,1000,16900,9.0
27,003228393171121602578_1246621670.dem,de_dust,09/28/2017 8:47:32 PM,2,11420,178.8323,Team 2,Team 1,Terrorist,CounterTerrorist,26,0,False,,Chest,Tec9,Pistol,300,Team 2,Terrorist,76561197987903016,9,76561198205911309,9,616.8459,848.5045,968.5695,491.3424,ECO,1000,16900,9.0
28,003228393171121602578_1246621670.dem,de_dust,09/28/2017 8:47:32 PM,2,11462,179.4888,Team 2,Team 1,Terrorist,CounterTerrorist,27,0,False,,Chest,Tec9,Pistol,300,Team 2,Terrorist,76561197987903016,9,76561198205911309,9,699.5824,725.2314,1016.4830000000001,521.482,ECO,1000,16900,9.0
29,003228393171121602578_1246621670.dem,de_dust,09/28/2017 8:47:32 PM,2,11478,179.739,Team 1,Team 2,CounterTerrorist,Terrorist,16,7,False,,Chest,USP,Pistol,300,Team 2,Terrorist,76561197974241783,7,76561197987903016,9,320.1125,433.2592,749.0049,691.2484,ECO,1000,16900,9.0
30,003228393171121602578_1246621670.dem,de_dust,09/28/2017 8:47:32 PM,2,11502,180.1141,Team 1,Team 2,CounterTerrorist,Terrorist,16,7,False,,Chest,USP,Pistol,300,Team 2,Terrorist,76561197974241783,7,76561197987903016,9,355.798,416.0313,772.6414,656.8723,ECO,1000,16900,9.0
31,003228393171121602578_1246621670.dem,de_dust,09/28/2017 8:47:32 PM,2,11504,180.1454,Team 2,Team 1,Terrorist,CounterTerrorist,21,0,False,,Head,Tec9,Pistol,300,Team 2,Terrorist,76561197987903016,9,76561198205911309,9,773.4777,655.3107,995.7861,523.461,ECO,1000,16900,9.0
32,003228393171121602578_1246621670.dem,de_dust,09/28/2017 8:47:32 PM,2,11804,184.835,Team 2,Team 1,Terrorist,CounterTerrorist,2,0,False,,Chest,AK47,Rifle,300,Team 2,Terrorist,76561198098776450,9,76561197974241783,7,1107.194,535.8597,221.2327,767.4556,ECO,1000,16900,9.0
33,003228393171121602578_1246621670.dem,de_dust,09/28/2017 8:47:32 PM,2,11840,185.3978,Team 2,Team 1,Terrorist,CounterTerrorist,34,0,False,,Chest,AK47,Rifle,300,Team 2,Terrorist,76561198098776450,9,76561197974241783,7,1112.741,557.3063,221.7492,769.5347,ECO,1000,16900,9.0
34,003228393171121602578_1246621670.dem,de_dust,09/28/2017 8:47:32 PM,2,11860,185.7104,Team 1,Team 2,CounterTerrorist,Terrorist,14,7,False,,Chest,USP,Pistol,300,Team 2,Terrorist,76561197974241783,7,76561198098776450,9,222.7819,773.7086,1112.741,557.3063,ECO,1000,16900,9.0
